	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.11174701011344178	4.250662667410714e-05	0.0005126953125	0.0624847412109375	0.14764564915707237	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
blmnii_svm	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
brf_lmo	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	0.007429643110795455	4.250662667410714e-05	0.0003839308215725807	0.0624847412109375	0.0005126953125	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
bxt_gmo__nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
bxt_gmosa_1k	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	0.0001983642578125	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.12133544921875
bxt_gmosa__nrlmf	0.11174701011344178	4.250662667410714e-05	0.007429643110795455	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	8.35217927631579e-05	0.0624847412109375	0.12133544921875	0.860260009765625	4.250662667410714e-05	4.250662667410714e-05
bxt_gso_1k	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.0001983642578125	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.0001983642578125	0.0005126953125
bxt_gso__nrlmf	0.0005126953125	4.250662667410714e-05	0.0003839308215725807	4.250662667410714e-05	4.250662667410714e-05	8.35217927631579e-05	4.250662667410714e-05	1.0	0.8315532733867694	0.0001983642578125	0.024905076667444032	4.250662667410714e-05	4.250662667410714e-05
dnilmf	0.0624847412109375	4.250662667410714e-05	0.0624847412109375	4.250662667410714e-05	4.250662667410714e-05	0.0624847412109375	4.250662667410714e-05	0.8315532733867694	1.0	0.0624847412109375	0.0624847412109375	4.250662667410714e-05	4.250662667410714e-05
dthybrid	0.14764564915707237	4.250662667410714e-05	0.0005126953125	4.250662667410714e-05	4.250662667410714e-05	0.12133544921875	4.250662667410714e-05	0.0001983642578125	0.0624847412109375	1.0	0.0002731573386270492	4.250662667410714e-05	4.250662667410714e-05
lmorls	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.860260009765625	4.250662667410714e-05	0.024905076667444032	0.0624847412109375	0.0002731573386270492	1.0	4.250662667410714e-05	4.250662667410714e-05
md_ss_bxt_gso	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.0001983642578125	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05
nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.12133544921875	4.250662667410714e-05	0.0005126953125	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0
