	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	3.903411155523255e-05	3.903411155523255e-05	0.24783948933793248	3.903411155523255e-05	0.003077189127604167	0.028020119180484696	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	0.2280081954656863
bxt_gmo__nrlmf	3.903411155523255e-05	1.0	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05
bxt_gmosa	3.903411155523255e-05	3.903411155523255e-05	1.0	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	0.00025541886039402175	3.903411155523255e-05
bxt_gmosa__nrlmf	0.24783948933793248	3.903411155523255e-05	3.903411155523255e-05	1.0	3.903411155523255e-05	0.3090912441037736	0.5618896484375	3.903411155523255e-05	0.001178497963763298	3.903411155523255e-05	0.35484031394675924
bxt_gso	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	1.0	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05
bxt_gso_1k__nrlmf	0.003077189127604167	3.903411155523255e-05	3.903411155523255e-05	0.3090912441037736	3.903411155523255e-05	1.0	0.05572509765625	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05
bxt_gso__nrlmf	0.028020119180484696	3.903411155523255e-05	3.903411155523255e-05	0.5618896484375	3.903411155523255e-05	0.05572509765625	1.0	3.903411155523255e-05	0.00018649631076388888	3.903411155523255e-05	7.62939453125e-05
bxt_lmo	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	1.0	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05
bxt_lmo__nrlmf	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	0.001178497963763298	3.903411155523255e-05	3.903411155523255e-05	0.00018649631076388888	3.903411155523255e-05	1.0	3.903411155523255e-05	3.903411155523255e-05
bxt_lso	3.903411155523255e-05	3.903411155523255e-05	0.00025541886039402175	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	1.0	3.903411155523255e-05
bxt_lso__nrlmf	0.2280081954656863	3.903411155523255e-05	3.903411155523255e-05	0.35484031394675924	3.903411155523255e-05	3.903411155523255e-05	7.62939453125e-05	3.903411155523255e-05	3.903411155523255e-05	3.903411155523255e-05	1.0
